name,platform,coop_players,has_pvp,year,genre,free2play,url
Arma,PC;PS4;Xbox;Switch,,No,2018,Strategy;RTS,No,https://example.com/games/arma
Hollow Knight Special Edition,PC;PS5;Xbox,4,No,2000,Party;Action,No,https://example.com/games/hollow-knight-special-edition
Duke Nukem Beta Edition,PC;Xbox,Many,No,2025,Puzzle;Adventure,No,https://example.com/games/duke-nukem-beta-edition
Atlas 3,PS5;Xbox,,Yes,2006,Action;Platformer,No,https://example.com/games/atlas-3
Darkest Dungeon Remake,PC;PS5,,Yes,2008,Grand Strategy;Strategy,No,https://example.com/games/darkest-dungeon-remake
Gris Remastered,PC;PS4;Xbox;Switch,8,No,2011,Battle Royale;Shooter,No,https://example.com/games/gris-remastered
The Dark Pictures Deluxe Edition,PS5;Xbox,4,No,2023,Shooter;Action,No,https://example.com/games/the-dark-pictures-deluxe-edition
Tetris Omega Edition 4,PC;Xbox,8,Yes,2001,Strategy;RTS,No,https://example.com/games/tetris-omega-edition-4
Castlevania Special Edition,Xbox,,No,2021,Simulation,No,https://example.com/games/castlevania-special-edition
Operation Tango Enhanced Edition,PC;PS5,4,Yes,2018,Party;Action,No,https://example.com/games/operation-tango-enhanced-edition
King of Avalon Deluxe Edition,PC;Xbox,,No,2006,Party;Action,Yes,https://example.com/games/king-of-avalon-deluxe-edition
Payday 5,PC;PS5;Xbox;Switch,4,Yes,2013,MOBA;Strategy,Yes,https://example.com/games/payday-5
Frontlines Deluxe Edition,PC;Xbox,4,No,2025,Shooter;Action,No,https://example.com/games/frontlines-deluxe-edition
Sniper Elite Digital Edition,PS5;Xbox,,Yes,2008,Action;Platformer,No,https://example.com/games/sniper-elite-digital-edition
Dragon's Crown Omega Edition 2,PC,4,Yes,2020,Puzzle;Adventure,No,https://example.com/games/dragon-s-crown-omega-edition-2
Stellaris 3,PS5;Xbox,6,No,2012,Survival;Horror,No,https://example.com/games/stellaris-3
Stronghold Deluxe Edition,Xbox,,No,2007,Shooter;Action,No,https://example.com/games/stronghold-deluxe-edition
Wolfenstein 2,PC;PS4;Xbox;Switch,4,Yes,2007,Racing,No,https://example.com/games/wolfenstein-2
Puyo Puyo Complete Edition,PC;PS5;Xbox;Switch,,No,2006,Battle Royale;Shooter,No,https://example.com/games/puyo-puyo-complete-edition
Silent Hill Remake,PC;PS4;Xbox;Switch,4,No,2020,Puzzle;Adventure,Yes,https://example.com/games/silent-hill-remake
New World Omega Edition 3,PC;PS4;Xbox;Switch,,Yes,2011,MOBA;Strategy,No,https://example.com/games/new-world-omega-edition-3
Back 4 Blood Complete Edition,PC,6,No,2000,Strategy;Turn-Based,No,https://example.com/games/back-4-blood-complete-edition
Baten Kaitos Omega Edition 5,Xbox,,Yes,2011,Shooter;RPG,No,https://example.com/games/baten-kaitos-omega-edition-5
Uncharted Final Edition,PC;Xbox,4,No,2011,Party;Action,Yes,https://example.com/games/uncharted-final-edition
Minecraft Standard Edition,PC,4,No,2020,Strategy;Turn-Based,No,https://example.com/games/minecraft-standard-edition
Mafia Omega Edition,PC,,No,2014,Party;Action,Yes,https://example.com/games/mafia-omega-edition
Overlord Beta Edition,PC;PS5;Xbox,4,Yes,2015,Shooter;Action,Yes,https://example.com/games/overlord-beta-edition
Attack on Titan Omega Edition 4,PC;Xbox,8,No,2010,RPG;Action,No,https://example.com/games/attack-on-titan-omega-edition-4
Inscryption Remake,PC;PS5,,Yes,2003,Battle Royale;Shooter,No,https://example.com/games/inscryption-remake
Attack on Titan Omega Edition 5,PC;PS5;Xbox,,No,2020,Strategy;RTS,No,https://example.com/games/attack-on-titan-omega-edition-5
Shadowverse Remastered,PC,3,No,2017,Shooter;RPG,No,https://example.com/games/shadowverse-remastered
Grandia Standard Edition,PC;PS5;Xbox;Switch,4,Yes,2015,Strategy;RTS,Yes,https://example.com/games/grandia-standard-edition
Blazing Souls Omega Edition 2,PC;Xbox,,Yes,2025,Action;Adventure,No,https://example.com/games/blazing-souls-omega-edition-2
Bread and Fred Legendary Edition,PC;PS5;Xbox;Switch,,No,2003,Survival;Horror,No,https://example.com/games/bread-and-fred-legendary-edition
Limbo 5,PC;PS4;Xbox,,Yes,2020,Racing,No,https://example.com/games/limbo-5
Catherine Remake,PC;PS5;Xbox,8,No,2005,Strategy;Turn-Based,No,https://example.com/games/catherine-remake
Unravel 5,PC;PS4;Xbox,4,No,2022,Battle Royale;Shooter,No,https://example.com/games/unravel-5
Tales from the Borderlands Collector's Edition,PC;PS4;Xbox,6,No,2018,Grand Strategy;Strategy,No,https://example.com/games/tales-from-the-borderlands-collector-s-edition
0 AD Alpha Edition,PC,,No,2026,Racing,Yes,https://example.com/games/0-ad-alpha-edition
Boomerang Fu Last Edition,PC;PS4;Xbox,,No,2003,Party;Action,No,https://example.com/games/boomerang-fu-last-edition
