name,platform,coop_players,has_pvp,year,genre,free2play,url,source
Г айды,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
С тримеры,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Borderlands 3,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Destiny 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Grim Dawn,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Warhammer: Vermintide 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
World War Z,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
The Division 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Left 4 Dead 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Sea of Thieves,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Broforce,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Far Cry 5,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Operation: Tango,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Stronghold: Crusader,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
We Were Here Expeditions: The Friendship,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Mordhau,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
State of Decay 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Warframe,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Forza Horizon 5,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Divinity: Original Sin 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Baldur’s Gate III,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Rainbow Six Siege,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Human Fall Flat,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
The Escapist 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Killing Floor 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Deep Rock Galactic,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Remnant: From the Ashes,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Remnant 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Valheim,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Back 4 Blood,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Astroneer,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Don’t Starve Together,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Fall Guys: Ultimate Knockout,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Hellpoint,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Monster Hunter: World,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Cuphead,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
It Takes Two,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
The Dark Pictures: Man of Medan,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
The Dark Pictures: Little Hope,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
The Dark Pictures: House of Ashes,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Dead by Daylight,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Saints Row: The Third Remastered,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Red Dead Redemption 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Starbound,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Zombie Army,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Trine 4,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Trine 5,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Civilization 6,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Wartales,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
Dead Island 2,,,No,,,No,https://1lag.com/ru/igry/50-luchshih-kooperativnyh-igr/,1lag.com
